"Time","Angle 1.o/0/X","Angle 1.o/0/Y","Angle 1.a/0/X","Angle 1.a/0/Y","Angle 1.b/0/X","Angle 1.b/0/Y","Angle 1/o/X","Angle 1/o/Y","Angle 1/a/X","Angle 1/a/Y","Angle 1/b/X","Angle 1/b/Y"
"6.272933","26.46075","-4.215698","33.80859","-59.41937","48.02429","67.33055","26.46075","-4.215698","33.80859","-59.41937","48.02429","67.33055"
"6.3063","27.19977","-8.353882","34.15283","-63.54367","49.84058","63.77459","27.19977","-8.353882","34.15283","-63.54367","49.84058","63.77459"
"6.339667","28.29565","-12.05835","34.57172","-67.99933","51.95325","59.75209","28.29565","-12.05835","34.57172","-67.99933","51.95325","59.75209"
"6.373034","29.38177","-16.82526","35.02267","-72.85037","54.19107","55.25423","29.38177","-16.82526","35.02267","-72.85037","54.19107","55.25423"
"6.4064","29.98706","-19.4274","35.22238","-77.88412","56.21585","50.99246","29.98706","-19.4274","35.22238","-77.88412","56.21585","50.99246"
"6.439767","30.9422","-23.35725","35.58209","-82.76501","58.38733","46.29053","30.9422","-23.35725","35.58209","-82.76501","58.38733","46.29053"
"6.473134","31.34503","-30.33195","36.05951","-88.05493","60.19592","41.09489","31.34503","-30.33195","36.05951","-88.05493","60.19592","41.09489"
"6.5065","32.06143","-34.62431","36.46146","-93.38812","61.01392","36.71027","32.06143","-34.62431","36.46146","-93.38812","61.01392","36.71027"
"6.539866","32.64691","-37.80853","35.99805","-98.61392","62.6813","31.57339","32.64691","-37.80853","35.99805","-98.61392","62.6813","31.57339"
"6.573233","33.2301","-42.86102","36.24432","-104.0537","64.08051","27.10828","33.2301","-42.86102","36.24432","-104.0537","64.08051","27.10828"
"6.6066","33.84351","-46.93225","36.29773","-109.1287","67.18411","13.13004","33.84351","-46.93225","36.29773","-109.1287","67.18411","13.13004"
"6.639966","34.12341","-51.28525","36.33063","-114.3706","68.10608","8.257034","34.12341","-51.28525","36.33063","-114.3706","68.10608","8.257034"
"6.673333","34.12003","-55.40286","36.33127","-119.3676","68.30362","4.388824","34.12003","-55.40286","36.33127","-119.3676","68.30362","4.388824"
"6.7067","34.2478","-59.96596","36.26257","-124.2321","68.9245","-1.162704","34.2478","-59.96596","36.26257","-124.2321","68.9245","-1.162704"
"6.740067","34.91534","-62.42227","36.27887","-128.832","69.09973","-5.110504","34.91534","-62.42227","36.27887","-128.832","69.09973","-5.110504"
"6.773433","35.03784","-67.13771","36.54779","-133.2468","69.20303","-8.051086","35.03784","-67.13771","36.54779","-133.2468","69.20303","-8.051086"
"6.8068","34.86444","-70.5941","36.80179","-137.4424","69.24948","-11.65063","34.86444","-70.5941","36.80179","-137.4424","69.24948","-11.65063"
"6.840167","35.09518","-73.96857","36.93692","-141.7621","69.00809","-14.98698","35.09518","-73.96857","36.93692","-141.7621","69.00809","-14.98698"
"6.873533","35.35461","-78.09976","37.18161","-145.8611","69.04373","-18.72278","35.35461","-78.09976","37.18161","-145.8611","69.04373","-18.72278"
"6.9069","36.85629","-72.68979","37.49478","-149.893","68.87872","-21.26108","36.85629","-72.68979","37.49478","-149.893","68.87872","-21.26108"
"6.940267","37.34625","-35.44588","37.76306","-153.7672","68.92355","-25.03149","37.34625","-35.44588","37.76306","-153.7672","68.92355","-25.03149"
"6.973633","37.25027","-39.39983","37.9176","-158.0864","68.91739","-26.99681","37.25027","-39.39983","37.9176","-158.0864","68.91739","-26.99681"
"7.007","37.207","-42.08975","38.11987","-162.415","68.81061","-29.79912","37.207","-42.08975","38.11987","-162.415","68.81061","-29.79912"
"7.040367","40.55145","-74.06696","38.29108","-167.2924","68.45676","-31.53502","40.55145","-74.06696","38.29108","-167.2924","68.45676","-31.53502"
