"Time","Angle 2.o/0/X","Angle 2.o/0/Y","Angle 2.a/0/X","Angle 2.a/0/Y","Angle 2.b/0/X","Angle 2.b/0/Y","Angle 1.o/0/X","Angle 1.o/0/Y","Angle 1.a/0/X","Angle 1.a/0/Y","Angle 1.b/0/X","Angle 1.b/0/Y","Angle 1/o/X","Angle 1/o/Y","Angle 1/a/X","Angle 1/a/Y","Angle 1/b/X","Angle 1/b/Y","Angle 2/o/X","Angle 2/o/Y","Angle 2/a/X","Angle 2/a/Y","Angle 2/b/X","Angle 2/b/Y"
"3.003","-21.2511","-232.8524","-17.24243","8.750183","-44.55273","-456.2748","-17.0614","8.483643","-21.20782","-233.6887","-21.31128","290.8364","-17.0614","8.483643","-21.20782","-233.6887","-21.31128","290.8364","-21.2511","-232.8524","-17.24243","8.750183","-44.55273","-456.2748"
"3.011342","-20.9295","-233.1091","-17.07318","8.976807","-45.01416","-456.0562","-17.0343","7.883484","-20.96356","-234.0579","-20.9201","291.1054","-17.0343","7.883484","-20.96356","-234.0579","-20.9201","291.1054","-20.9295","-233.1091","-17.07318","8.976807","-45.01416","-456.0562"
"3.019683","-20.91412","-233.117","-17.06903","8.977905","-45.02356","-456.0788","-17.03015","7.885864","-20.9483","-234.0643","-20.91388","291.0689","-17.03015","7.885864","-20.9483","-234.0643","-20.91388","291.0689","-20.91412","-233.117","-17.06903","8.977905","-45.02356","-456.0788"
"3.028025","-20.92657","-233.1883","-17.04449","8.908936","-45.01807","-456.1439","-17.00494","7.817749","-20.96515","-234.1321","-20.89752","290.8242","-17.00494","7.817749","-20.96515","-234.1321","-20.89752","290.8242","-20.92657","-233.1883","-17.04449","8.908936","-45.01807","-456.1439"
"3.036367","-20.91223","-233.2012","-17.02466","8.899475","-45.01489","-456.1445","-16.98669","7.80542","-20.94806","-234.15","-21.00116","290.6236","-16.98669","7.80542","-20.94806","-234.15","-21.00116","290.6236","-20.91223","-233.2012","-17.02466","8.899475","-45.01489","-456.1445"
"3.044708","-20.90875","-233.2233","-17.00287","8.874207","-45.01111","-456.1912","-16.96619","7.784058","-20.95734","-234.1696","-21.03625","290.5667","-16.96619","7.784058","-20.95734","-234.1696","-21.03625","290.5667","-20.90875","-233.2233","-17.00287","8.874207","-45.01111","-456.1912"
"3.05305","-20.89954","-233.2238","-17.0174","8.856628","-44.99207","-456.2066","-16.97998","7.766968","-20.94525","-234.1671","-21.05634","290.5445","-16.97998","7.766968","-20.94525","-234.1671","-21.05634","290.5445","-20.89954","-233.2238","-17.0174","8.856628","-44.99207","-456.2066"
"3.061392","-20.83783","-233.217","-17.02118","8.847717","-44.96954","-456.2131","-16.98163","7.766113","-20.87994","-234.1675","-21.62646","290.3138","-16.98163","7.766113","-20.87994","-234.1675","-21.62646","290.3138","-20.83783","-233.217","-17.02118","8.847717","-44.96954","-456.2131"
"3.069733","-20.82062","-233.2144","-17.0127","8.854614","-44.96954","-456.2131","-16.97607","7.769714","-20.85919","-234.1635","-21.65912","290.3039","-16.97607","7.769714","-20.85919","-234.1635","-21.65912","290.3039","-20.82062","-233.2144","-17.0127","8.854614","-44.96954","-456.2131"
"3.078075","-20.77582","-233.1816","-16.99042","8.870178","-44.96191","-456.1699","-16.95703","7.785278","-20.81415","-234.1248","-21.85034","290.3577","-16.95703","7.785278","-20.81415","-234.1248","-21.85034","290.3577","-20.77582","-233.1816","-16.99042","8.870178","-44.96191","-456.1699"
"3.086417","-20.77875","-233.1747","-16.98938","8.894348","-44.96173","-456.1489","-16.95441","7.801819","-20.81317","-234.12","-22.03625","290.4029","-16.95441","7.801819","-20.81317","-234.12","-22.03625","290.4029","-20.77875","-233.1747","-16.98938","8.894348","-44.96173","-456.1489"
"3.094758","-20.76294","-233.1644","-16.99084","8.916565","-44.96918","-456.1104","-16.95789","7.832214","-20.79779","-234.1094","-22.13574","290.4476","-16.95789","7.832214","-20.79779","-234.1094","-22.13574","290.4476","-20.76294","-233.1644","-16.99084","8.916565","-44.96918","-456.1104"
"3.1031","-20.75287","-233.1652","-16.99799","8.928101","-44.97021","-456.1108","-16.96619","7.845398","-20.79034","-234.1082","-22.07043","290.5355","-16.96619","7.845398","-20.79034","-234.1082","-22.07043","290.5355","-20.75287","-233.1652","-16.99799","8.928101","-44.97021","-456.1108"
"3.111442","-20.74548","-233.14","-16.98981","8.932495","-44.95892","-456.0991","-16.95575","7.842529","-20.77612","-234.084","-22.66217","290.413","-16.95575","7.842529","-20.77612","-234.084","-22.66217","290.413","-20.74548","-233.14","-16.98981","8.932495","-44.95892","-456.0991"
"3.119783","-20.74304","-233.137","-16.9975","8.938599","-44.94788","-456.092","-16.96149","7.84668","-20.77612","-234.0779","-22.8175","290.4872","-16.96149","7.84668","-20.77612","-234.0779","-22.8175","290.4872","-20.74304","-233.137","-16.9975","8.938599","-44.94788","-456.092"
