"Time","Angle 2.o/0/X","Angle 2.o/0/Y","Angle 2.a/0/X","Angle 2.a/0/Y","Angle 2.b/0/X","Angle 2.b/0/Y","Angle 1.o/0/X","Angle 1.o/0/Y","Angle 1.a/0/X","Angle 1.a/0/Y","Angle 1.b/0/X","Angle 1.b/0/Y","Angle 1/o/X","Angle 1/o/Y","Angle 1/a/X","Angle 1/a/Y","Angle 1/b/X","Angle 1/b/Y","Angle 2/o/X","Angle 2/o/Y","Angle 2/a/X","Angle 2/a/Y","Angle 2/b/X","Angle 2/b/Y"
"6.998658","-2.799927","-227.0039","-18.22015","6.857361","-30.10919","-451.6788","-18.48083","7.373718","-3.640381","-226.2001","-19.61359","295.788","-18.48083","7.373718","-3.640381","-226.2001","-19.61359","295.788","-2.799927","-227.0039","-18.22015","6.857361","-30.10919","-451.6788"
"7.007","-2.776367","-226.946","-17.71729","6.965454","-29.95984","-452.1065","-17.71729","6.965454","-3.862732","-225.9448","-20.10529","296.026","-17.71729","6.965454","-3.862732","-225.9448","-20.10529","296.026","-2.776367","-226.946","-17.71729","6.965454","-29.95984","-452.1065"
"7.015342","-2.713196","-226.8007","-17.67139","7.002747","-29.96973","-452.0973","-17.67139","7.002747","-3.820984","-225.811","-19.3327","296.0843","-17.67139","7.002747","-3.820984","-225.811","-19.3327","296.0843","-2.713196","-226.8007","-17.67139","7.002747","-29.96973","-452.0973"
"7.023684","-2.577209","-226.7389","-17.46179","7.029968","-29.93109","-452.1332","-17.46179","7.029968","-3.706482","-225.7557","-18.60583","295.8415","-17.46179","7.029968","-3.706482","-225.7557","-18.60583","295.8415","-2.577209","-226.7389","-17.46179","7.029968","-29.93109","-452.1332"
"7.032025","-2.413513","-226.7685","-17.31018","7.108643","-29.93915","-452.1517","-17.31018","7.108643","-3.552429","-225.7639","-17.88721","295.5247","-17.31018","7.108643","-3.552429","-225.7639","-17.88721","295.5247","-2.413513","-226.7685","-17.31018","7.108643","-29.93915","-452.1517"
"7.040367","-2.404602","-226.7654","-17.17035","7.23584","-29.85742","-452.2097","-17.17035","7.23584","-3.542725","-225.7604","-17.29901","295.5065","-17.17035","7.23584","-3.542725","-225.7604","-17.29901","295.5065","-2.404602","-226.7654","-17.17035","7.23584","-29.85742","-452.2097"
"7.048708","-2.390869","-226.8054","-17.01392","7.386475","-29.79492","-452.282","-17.01392","7.386475","-3.524658","-225.8085","-17.15961","295.2246","-17.01392","7.386475","-3.524658","-225.8085","-17.15961","295.2246","-2.390869","-226.8054","-17.01392","7.386475","-29.79492","-452.282"
"7.05705","-2.46344","-226.8794","-16.98126","7.450134","-29.77948","-452.2806","-16.98126","7.450134","-3.585205","-225.873","-17.37482","295.243","-16.98126","7.450134","-3.585205","-225.873","-17.37482","295.243","-2.46344","-226.8794","-16.98126","7.450134","-29.77948","-452.2806"
"7.065392","-2.654724","-226.8582","-16.99292","7.581848","-29.72559","-452.3615","-16.99292","7.581848","-3.785278","-225.8673","-18.21411","295.4145","-16.99292","7.581848","-3.785278","-225.8673","-18.21411","295.4145","-2.654724","-226.8582","-16.99292","7.581848","-29.72559","-452.3615"
"7.073733","-2.705139","-226.8929","-16.98914","7.597778","-29.72528","-452.386","-16.98914","7.597778","-3.827393","-225.8975","-19.06958","295.6425","-16.98914","7.597778","-3.827393","-225.8975","-19.06958","295.6425","-2.705139","-226.8929","-16.98914","7.597778","-29.72528","-452.386"
