"Time","Angle 1.o/0/X","Angle 1.o/0/Y","Angle 1.a/0/X","Angle 1.a/0/Y","Angle 1.b/0/X","Angle 1.b/0/Y","Angle 2.o/0/X","Angle 2.o/0/Y","Angle 2.a/0/X","Angle 2.a/0/Y","Angle 2.b/0/X","Angle 2.b/0/Y","Angle 1/o/X","Angle 1/o/Y","Angle 1/a/X","Angle 1/a/Y","Angle 1/b/X","Angle 1/b/Y","Angle 2/o/X","Angle 2/o/Y","Angle 2/a/X","Angle 2/a/Y","Angle 2/b/X","Angle 2/b/Y"
"1.167833","-9.25238","77.25485","19.20001","-198.5143","-42.12598","378.8645","18.74762","-199.9664","-9.807678","77.79901","-35.76709","-443.9847","-9.25238","77.25485","19.20001","-198.5143","-42.12598","378.8645","18.74762","-199.9664","-9.807678","77.79901","-35.76709","-443.9847"
"1.176175","-9.154846","76.90057","19.01489","-199.1205","-41.87537","378.937","19.04034","-200.1707","-10.06989","77.82141","-35.961","-444.0146","-9.154846","76.90057","19.01489","-199.1205","-41.87537","378.937","19.04034","-200.1707","-10.06989","77.82141","-35.961","-444.0146"
"1.184517","-9.171753","76.89255","19.01276","-199.1271","-41.44983","378.8449","19.0351","-200.1818","-10.08197","77.80737","-35.961","-444.0146","-9.171753","76.89255","19.01276","-199.1271","-41.44983","378.8449","19.0351","-200.1818","-10.08197","77.80737","-35.961","-444.0146"
"1.192858","-9.397949","76.88388","19.01508","-199.1331","-41.10736","378.8965","19.0365","-200.1823","-10.3407","77.83392","-35.96368","-444.0191","-9.397949","76.88388","19.01508","-199.1331","-41.10736","378.8965","19.0365","-200.1823","-10.3407","77.83392","-35.96368","-444.0191"
"1.2012","-9.405518","76.89536","19.0484","-199.1429","-40.85016","378.9285","19.07275","-200.1956","-10.34393","77.83801","-35.96368","-444.0191","-9.405518","76.89536","19.0484","-199.1429","-40.85016","378.9285","19.07275","-200.1956","-10.34393","77.83801","-35.96368","-444.0191"
"1.209542","-9.635559","76.76376","19.08966","-199.123","-40.64191","378.9662","19.11023","-200.1835","-10.55164","77.64334","-35.97571","-443.9955","-9.635559","76.76376","19.08966","-199.123","-40.64191","378.9662","19.11023","-200.1835","-10.55164","77.64334","-35.97571","-443.9955"
"1.217883","-9.635498","76.76376","19.12256","-199.1195","-40.534","379.0413","19.14587","-200.1864","-10.5517","77.64334","-35.96802","-443.9868","-9.635498","76.76376","19.12256","-199.1195","-40.534","379.0413","19.14587","-200.1864","-10.5517","77.64334","-35.96802","-443.9868"
"1.226225","-9.66864","76.69385","19.18933","-199.1418","-40.35675","378.861","19.20953","-200.203","-10.59589","77.6077","-35.9353","-443.9702","-9.66864","76.69385","19.18933","-199.1418","-40.35675","378.861","19.20953","-200.203","-10.59589","77.6077","-35.9353","-443.9702"
"1.234567","-9.679932","76.67191","19.20074","-199.1473","-40.08752","378.915","19.22174","-200.2112","-10.60828","77.59808","-35.91724","-443.9664","-9.679932","76.67191","19.20074","-199.1473","-40.08752","378.915","19.22174","-200.2112","-10.60828","77.59808","-35.91724","-443.9664"
"1.242908","-9.73761","76.65015","19.33191","-199.2133","-39.85492","378.9161","19.35406","-200.272","-10.63251","77.55368","-35.8772","-444.0063","-9.73761","76.65015","19.33191","-199.2133","-39.85492","378.9161","19.35406","-200.272","-10.63251","77.55368","-35.8772","-444.0063"
